id,parts
000,pTet,pBAD,AraC,pTet,pBAD,AraC
001,pTet,pBAD,AraC,pTet,pBAD,PsrA
002,pTet,pBAD,AraC,pTet,pBAD,tfSp
003,pTet,pBAD,AraC,pTet,pPsrA,AraC
004,pTet,pBAD,AraC,pTet,pPsrA,PsrA
005,pTet,pBAD,AraC,pTet,pPsrA,tfSp
006,pTet,pBAD,AraC,pTet,pTac,AraC
007,pTet,pBAD,AraC,pTet,pTac,PsrA
008,pTet,pBAD,AraC,pTet,pTac,tfSp
009,pTet,pBAD,AraC,T10,pBAD,AraC
010,pTet,pBAD,AraC,T10,pBAD,PsrA
011,pTet,pBAD,AraC,T10,pBAD,tfSp
012,pTet,pBAD,AraC,T10,pPsrA,AraC
013,pTet,pBAD,AraC,T10,pPsrA,PsrA
014,pTet,pBAD,AraC,T10,pPsrA,tfSp
015,pTet,pBAD,AraC,T10,pTac,AraC
016,pTet,pBAD,AraC,T10,pTac,PsrA
017,pTet,pBAD,AraC,T10,pTac,tfSp
018,pTet,pBAD,PsrA,pTet,pBAD,AraC
019,pTet,pBAD,PsrA,pTet,pBAD,PsrA
020,pTet,pBAD,PsrA,pTet,pBAD,tfSp
021,pTet,pBAD,PsrA,pTet,pPsrA,AraC
022,pTet,pBAD,PsrA,pTet,pPsrA,PsrA
023,pTet,pBAD,PsrA,pTet,pPsrA,tfSp
024,pTet,pBAD,PsrA,pTet,pTac,AraC
025,pTet,pBAD,PsrA,pTet,pTac,PsrA
026,pTet,pBAD,PsrA,pTet,pTac,tfSp
027,pTet,pBAD,PsrA,T10,pBAD,AraC
028,pTet,pBAD,PsrA,T10,pBAD,PsrA
029,pTet,pBAD,PsrA,T10,pBAD,tfSp
030,pTet,pBAD,PsrA,T10,pPsrA,AraC
031,pTet,pBAD,PsrA,T10,pPsrA,PsrA
032,pTet,pBAD,PsrA,T10,pPsrA,tfSp
033,pTet,pBAD,PsrA,T10,pTac,AraC
034,pTet,pBAD,PsrA,T10,pTac,PsrA
035,pTet,pBAD,PsrA,T10,pTac,tfSp
036,pTet,pBAD,tfSp,pTet,pBAD,AraC
037,pTet,pBAD,tfSp,pTet,pBAD,PsrA
038,pTet,pBAD,tfSp,pTet,pBAD,tfSp
039,pTet,pBAD,tfSp,pTet,pPsrA,AraC
040,pTet,pBAD,tfSp,pTet,pPsrA,PsrA
041,pTet,pBAD,tfSp,pTet,pPsrA,tfSp
042,pTet,pBAD,tfSp,pTet,pTac,AraC
043,pTet,pBAD,tfSp,pTet,pTac,PsrA
