,part0,part1,part2,part3,part4,part5,-/-,-/+,+/-,+/+,output_phenotype
0,pPhIF,T10,HlyIIR,pPhIF,T10,HlyIIR,"[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0]]"
1,pPhIF,T10,HlyIIR,pPhIF,T10,pPhIF,"[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [1], [1], [1]]"
2,pPhIF,T10,HlyIIR,pPhIF,T10,pHlyIIR,"[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [1], [1], [1]]"
3,pPhIF,T10,HlyIIR,pPhIF,T10,HlyIIR,"[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[1], [0], [0], [1], [0], [0]]","[[0], [0], [0], [0]]"
4,pPhIF,T10,HlyIIR,pPhIF,T10,pPhIF,"[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [1], [1], [1]]"
5,pPhIF,T10,HlyIIR,pPhIF,T10,pHlyIIR,"[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [0], [0], [1], [0], [1]]","[[1], [1], [1], [1]]"
6,pPhIF,T10,HlyIIR,pPhIF,HlyIIR,HlyIIR,"[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [1], [1], [1]]"
7,pPhIF,T10,HlyIIR,pPhIF,HlyIIR,pPhIF,"[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [1], [1], [1]]"
8,pPhIF,T10,HlyIIR,pPhIF,HlyIIR,pHlyIIR,"[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [0], [0], [1], [1], [1]]","[[1], [1], [1], [1]]"
9,pPhIF,T10,HlyIIR,BM3R1,T10,HlyIIR,"[[1], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[1], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]"
10,pPhIF,T10,HlyIIR,BM3R1,T10,pPhIF,"[[1], [0], [0], [0], [0], [1]]","[[1], [0], [0], [0], [0], [1]]","[[1], [0], [0], [0], [0], [1]]","[[1], [0], [0], [0], [0], [1]]","[[1], [1], [1], [1]]"
