,part0,part1,part2,part3,part4,part5,-/-,-/+,+/-,+/+,output_phenotype
0,T10,BM3R1,PhIF,T10,BM3R1,PhIF,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]"
1,T10,BM3R1,PhIF,T10,BM3R1,pTac,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [1], [1]]"
2,T10,BM3R1,PhIF,T10,BM3R1,pTac,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [1], [1]]"
3,T10,BM3R1,PhIF,T10,BetI,PhIF,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0]]"
4,T10,BM3R1,PhIF,T10,BetI,pTac,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [1], [1]]"
5,T10,BM3R1,PhIF,T10,BetI,pTac,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [0], [0], [0], [1]]","[[0], [0], [1], [1]]"
6,T10,BM3R1,PhIF,T10,pLmrA,PhIF,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [1], [1], [1]]"
7,T10,BM3R1,PhIF,T10,pLmrA,pTac,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [1], [1], [1]]"
8,T10,BM3R1,PhIF,T10,pLmrA,pTac,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[1], [1], [1], [1]]"
9,T10,BM3R1,PhIF,pPhIF,BM3R1,PhIF,"[[0, 0], [0, 0], [0, 0], [1, 0], [1, 0], [1, 0]]","[[0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1]]","[[0, 0], [0, 0], [0, 0], [1, 0], [1, 0], [1, 0]]","[[0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1]]","[[1, 0], [0, 1], [1, 0], [0, 1]]"
